wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,pre_vol,post_vol,delta_vol,pre_o2s_stated,post_o2s_stated,delta_o2s_stated,pre_o2s_stated_1,post_o2s_stated_1,delta_o2s_stated_1,pre_o2d_stated,post_o2d_stated,delta_o2d_stated,pre_fast_badge,post_fast_badge,delta_fast_badge,pre_o2d_actual_less5,post_o2d_actual_less5,delta_o2d_actual_less5,pre_o2s_actual,post_o2s_actual,delta_o2s_actual,pre_o2d_actual,post_o2d_actual,delta_o2d_actual,pre_det_o2d,post_det_o2d,delta_det_o2d,pre_ifr,post_ifr,delta_ifr,pre_del_rel,post_del_rel,delta_del_rel,pre_det_del_rel,post_det_del_rel,delta_det_del_rel,pre_late_orders,post_late_orders,delta_late_orders,pre_delivered_vol,post_delivered_vol,delta_delivered_vol,pre_weekend_msbd,post_weekend_msbd,delta_weekend_msbd,pre_weekend_ship,post_weekend_ship,delta_weekend_ship,pre_sat_ship,post_sat_ship,delta_sat_ship,pre_sun_ship,post_sun_ship,delta_sun_ship
wave2_aug,266873,Hong Kong Linsy International Trading NJ 08016(2),HONG KONG LINSYHOME INTERNATIONAL TRADING LIMITED,APS Bedroom,Wendy Wang,2026-08-02,217.0,202.0,-15.0,2.474654377880184,1.7673267326732673,-0.7073276452069168,0.0,0.36633663366336633,0.36633663366336633,4.1395348837209305,4.411167512690355,0.2716326289694244,0.9447004608294931,0.8514851485148515,-0.09321531231464164,0.9723502304147466,0.9455445544554455,-0.026805675959301056,1.1935483870967742,1.1732673267326732,-0.020281060364101045,3.3824884792626726,3.633663366336634,0.2511748870739612,4.162790697674419,4.456852791878172,0.2940620942037535,1.0,0.9801980198019802,-0.01980198019801982,0.9815668202764977,0.9158415841584159,-0.06572523611808179,0.9493087557603687,0.8910891089108911,-0.05821964684947756,0.0,4.0000000000000036,4.0000000000000036,217.0,202.0,-15.0,0.0,0.7425742574257426,0.7425742574257426,0.8525345622119815,0.7970297029702971,-0.05550485924168447,0.0,0.0,0.0,0.8525345622119815,0.7970297029702971,-0.05550485924168447
wave2_aug,409174,zhengzhoushijianxingwangluokejiyouxiangongsi GA 31407,zhengzhoushijianxingwangluokejiyouxiangongsi,APS Bedroom,Lydia Liu,2026-08-02,162.0,199.0,37.0,3.6296296296296298,1.592964824120603,-2.0366648055090266,0.0,0.3768844221105528,0.3768844221105528,5.050632911392405,4.75,-0.30063291139240533,0.808641975308642,0.8592964824120602,0.050654507103418234,0.8888888888888888,0.8743718592964824,-0.014517029592406416,1.2962962962962963,1.3819095477386936,0.08561325144239729,4.339506172839506,4.396984924623116,0.05747875178360928,5.6455696202531644,4.413265306122449,-1.2323043141307153,1.0,0.8944723618090452,-0.10552763819095479,0.9074074074074074,0.9246231155778895,0.017215708170482014,0.9444444444444444,0.8241206030150754,-0.12032384142936903,0.0,21.000000000000004,21.000000000000004,162.0,199.0,37.0,0.006172839506172839,0.6984924623115578,0.692319622805385,0.7716049382716049,0.8391959798994975,0.06759104162789253,0.1728395061728395,0.1306532663316583,-0.042186239841181195,0.5987654320987654,0.7085427135678392,0.10977728146907373
wave2_aug,125733,Shenzhen Zhichen Trading Co. LTD. CA 91748,Shenzhen Zhichen Trading Co. LTD.,APS K&D,Stella Yin,2026-08-02,241.0,198.0,-43.0,2.4605809128630707,1.505050505050505,-0.9555304078125657,0.0,0.46464646464646464,0.46464646464646464,5.177215189873418,4.760204081632653,-0.41701110824076437,0.6224066390041494,0.7222222222222222,0.09981558321807282,0.7219917012448133,0.7626262626262627,0.040634561381449386,0.8796680497925311,0.8636363636363636,-0.016031686156167457,4.435684647302905,4.045454545454546,-0.39023010184835893,4.919491525423729,4.5786802030456855,-0.3408113223780438,0.995850622406639,0.9646464646464646,-0.031204157760174378,0.946058091286307,0.8585858585858586,-0.08747223270044846,0.91701244813278,0.8484848484848485,-0.06852759964793154,0.9999999999999964,7.000000000000001,6.000000000000004,241.0,198.0,-43.0,0.0,0.7323232323232324,0.7323232323232324,0.7551867219917012,0.7676767676767676,0.012490045685066398,0.38589211618257263,0.36363636363636365,-0.022255752546208984,0.36929460580912865,0.40404040404040403,0.03474579823127538
wave2_aug,329946,Nourison PA 18067,Nourison,Rugs,Alex Melius,2026-08-02,174.0,197.0,23.0,2.6379310344827585,1.6243654822335025,-1.013565552249256,0.0,0.3756345177664975,0.3756345177664975,4.108433734939759,4.123655913978495,0.01522217903873635,0.9022988505747126,0.8781725888324873,-0.02412626174222532,0.9540229885057471,0.9086294416243654,-0.04539354688138164,1.5574712643678161,1.416243654822335,-0.1412276095454812,3.735632183908046,3.949238578680203,0.21360639477215715,4.0606060606060606,3.804232804232804,-0.25637325637325636,0.9770114942528736,0.9746192893401016,-0.0023922049127720335,0.8908045977011494,0.8274111675126904,-0.063393430188459,0.867816091954023,0.8274111675126904,-0.04040492444133259,3.999999999999995,4.999999999999993,0.9999999999999978,174.0,197.0,23.0,0.0,0.6649746192893401,0.6649746192893401,0.7298850574712644,0.8426395939086294,0.112754536437365,0.0,0.0,0.0,0.7298850574712644,0.8426395939086294,0.112754536437365
wave2_aug,174756,Zhejiang Paide Network Technology Co Ltd CA 92571,Zhejiang Paide Network Technology Co Ltd,APS,Ricky Yu,2026-08-02,129.0,194.0,65.0,2.4806201550387597,1.4948453608247423,-0.9857747942140174,0.0,0.5618556701030928,0.5618556701030928,5.142857142857143,4.953367875647668,-0.189489267209475,0.5581395348837209,0.6855670103092784,0.12742747542555743,0.7906976744186046,0.654639175257732,-0.13605849916087265,1.062015503875969,1.2474226804123711,0.18540717653640204,4.124031007751938,4.644329896907217,0.5202988891552787,5.016,5.134715025906735,0.11871502590673533,1.0,0.9381443298969072,-0.061855670103092786,0.9534883720930233,0.8402061855670103,-0.11328218652601296,0.937984496124031,0.9020618556701031,-0.0359226404539279,0.0,12.0,12.0,129.0,194.0,65.0,0.0,0.8711340206185567,0.8711340206185567,0.689922480620155,0.8505154639175257,0.1605929832973707,0.031007751937984496,0.05154639175257732,0.02053863981459282,0.6589147286821705,0.7989690721649485,0.140054343482778
wave2_aug,153347,Alphamarts TX 77521(2),Alphamarts,APS Outdoor,Melody Lu,2026-08-02,288.0,192.0,-96.0,2.4375,1.5833333333333333,-0.8541666666666667,0.0,0.484375,0.484375,4.5359712230215825,4.328042328042328,-0.20792889497925415,0.8472222222222222,0.8802083333333334,0.03298611111111116,0.8819444444444444,0.890625,0.00868055555555558,1.5034722222222223,1.2760416666666667,-0.22743055555555558,4.190972222222222,3.921875,-0.2690972222222223,4.335766423357664,4.481481481481482,0.1457150581238178,0.96875,0.859375,-0.109375,0.8888888888888888,0.8177083333333334,-0.07118055555555547,0.7743055555555556,0.703125,-0.07118055555555558,9.0,27.0,18.0,288.0,192.0,-96.0,0.0,0.8125,0.8125,0.7604166666666666,0.6979166666666666,-0.0625,0.0,0.010416666666666666,0.010416666666666666,0.7604166666666666,0.6875,-0.07291666666666663
wave2_aug,59554,EC EXPORT INC. NJ 08505,EC EXPORT INC. NJ 08831,APS,Ida Li,2026-08-02,240.0,192.0,-48.0,2.5541666666666667,1.875,-0.6791666666666667,0.0,0.3697916666666667,0.3697916666666667,4.497854077253219,4.197860962566845,-0.2999931146863739,0.85,0.8854166666666666,0.03541666666666665,0.8916666666666667,0.921875,0.03020833333333328,1.4208333333333334,1.125,-0.2958333333333334,4.329166666666667,4.010416666666667,-0.31874999999999964,4.491379310344827,4.320855614973262,-0.17052369537156498,0.9958333333333333,0.9479166666666666,-0.04791666666666672,0.9291666666666667,0.8541666666666666,-0.07500000000000007,0.8916666666666667,0.859375,-0.03229166666666672,0.9999999999999964,10.000000000000007,9.00000000000001,240.0,192.0,-48.0,0.0,0.8072916666666666,0.8072916666666666,0.9,0.90625,0.006249999999999978,0.3416666666666667,0.4479166666666667,0.10625000000000001,0.5583333333333333,0.4583333333333333,-0.10000000000000003
wave2_aug,12397,Ashley Furniture WI 54612,Ashley Furniture,Upholstery,Anne Marie Conde,2026-08-02,198.0,190.0,-8.0,2.2222222222222223,1.194736842105263,-1.0274853801169592,0.0,0.4842105263157895,0.4842105263157895,4.0638297872340425,3.8202247191011236,-0.24360506813291893,0.8838383838383839,0.8947368421052632,0.010898458266879296,0.9090909090909091,0.9210526315789473,0.011961722488038284,0.6363636363636364,0.6157894736842106,-0.0205741626794258,3.9242424242424243,3.8526315789473684,-0.0716108452950559,4.01063829787234,3.727777777777778,-0.2828605200945624,0.9949494949494949,0.9894736842105263,-0.005475810738968634,0.7474747474747475,0.6421052631578947,-0.10536948431685278,0.7121212121212122,0.631578947368421,-0.08054226475279114,1.0000000000000064,2.000000000000006,0.9999999999999998,198.0,190.0,-8.0,0.0,0.6631578947368421,0.6631578947368421,0.8333333333333334,0.8105263157894737,-0.02280701754385972,0.5555555555555556,0.4421052631578947,-0.11345029239766086,0.2777777777777778,0.3684210526315789,0.09064327485380114
wave2_aug,51786,NeoChair CA 90723,NEO CHAIR INC,Casegoods,Karolina Coulter,2026-08-02,175.0,189.0,14.0,2.04,1.2962962962962963,-0.7437037037037038,0.0,0.455026455026455,0.455026455026455,4.242774566473988,3.8449197860962565,-0.3978547803777319,0.9142857142857143,0.9841269841269841,0.06984126984126982,0.9771428571428571,0.9629629629629629,-0.014179894179894181,1.04,1.1216931216931216,0.0816931216931216,3.5485714285714285,3.6084656084656084,0.05989417989417989,3.788235294117647,3.8663101604278074,0.07807486631016047,1.0,1.0,0.0,0.96,0.8148148148148148,-0.1451851851851852,0.9028571428571428,0.9470899470899471,0.04423280423280429,0.0,0.0,0.0,175.0,189.0,14.0,0.0,0.7301587301587301,0.7301587301587301,0.7771428571428571,0.8253968253968254,0.048253968253968216,0.0,0.0,0.0,0.7771428571428571,0.8253968253968254,0.048253968253968216
wave2_aug,349462,YESURE INC. CA 92571,YESURE INC.,APS Decor,Qiwen Fan,2026-08-02,227.0,186.0,-41.0,2.4537444933920707,1.6290322580645162,-0.8247122353275544,0.0,0.44623655913978494,0.44623655913978494,5.6923076923076925,5.173184357541899,-0.5191233347657933,0.4052863436123348,0.5645161290322581,0.15922978541992333,0.5726872246696035,0.6075268817204301,0.03483965705082659,1.1806167400881058,1.3064516129032258,0.12583487281511996,5.127753303964758,4.956989247311828,-0.1707640566529296,5.529953917050691,5.271186440677966,-0.258767476372725,0.9955947136563876,0.9408602150537635,-0.05473449860262414,0.8502202643171806,0.7903225806451613,-0.05989768367201931,0.788546255506608,0.8225806451612904,0.03403438965468242,1.0000000000000078,10.99999999999999,9.999999999999982,227.0,186.0,-41.0,0.0,0.7741935483870968,0.7741935483870968,0.801762114537445,0.8010752688172043,-0.0006868457202406919,0.0,0.0,0.0,0.801762114537445,0.8010752688172043,-0.0006868457202406919
wave2_aug,458764,NEW BKFARMHOUSE INC CA 91761 (4),NEW BKFARMHOUSE INC,APS Pet,Regan Zou,2026-08-02,135.0,182.0,47.0,2.303703703703704,1.7912087912087913,-0.5124949124949125,0.0,0.3791208791208791,0.3791208791208791,5.7894736842105265,5.4748603351955305,-0.31461334901499605,0.5037037037037037,0.47802197802197804,-0.02568172568172561,0.6148148148148148,0.532967032967033,-0.08184778184778185,1.6074074074074074,1.7087912087912087,0.10138380138380132,5.4222222222222225,5.274725274725275,-0.14749694749694786,6.969924812030075,5.379888268156424,-1.5900365438736506,0.9925925925925926,0.7857142857142857,-0.20687830687830688,0.8518518518518519,0.8351648351648352,-0.016687016687016665,0.9111111111111111,0.6868131868131868,-0.22429792429792428,1.0000000000000013,39.0,38.0,135.0,182.0,47.0,0.0,0.7087912087912088,0.7087912087912088,0.6074074074074074,0.5714285714285714,-0.035978835978836,0.022222222222222223,0.0,-0.022222222222222223,0.5851851851851851,0.5714285714285714,-0.013756613756613745
wave2_aug,353664,shenzhenzhijingdianzishangwuyouxiangong WPPA2,shenzhenzhijingdianzishangwuyouxiangongsi,APS Bedroom,Lydia Liu,2026-08-02,153.0,179.0,26.0,3.4705882352941178,1.681564245810056,-1.7890239894840618,0.0,0.39664804469273746,0.39664804469273746,4.453333333333333,4.16,-0.293333333333333,0.9215686274509803,0.9441340782122905,0.022565450761310113,0.9607843137254902,0.9664804469273743,0.005696133201884113,1.4052287581699345,1.541899441340782,0.13667068317084752,3.4901960784313726,3.8603351955307263,0.37013911709935376,5.2885906040268456,4.079545454545454,-1.2090451494813914,0.9477124183006536,0.8715083798882681,-0.07620403841238543,0.9084967320261438,0.88268156424581,-0.02581516778033377,0.9150326797385621,0.6759776536312849,-0.23905502610727714,8.000000000000005,23.000000000000007,15.000000000000002,153.0,179.0,26.0,0.0,0.7486033519553073,0.7486033519553073,0.7189542483660131,0.770949720670391,0.051995472304377954,0.006535947712418301,0.0223463687150838,0.015810421002665498,0.7124183006535948,0.7486033519553073,0.036185051301712456
wave2_aug,324716,Stellweilan Tessberg LLC CA 91789,Stellweilan Tessberg LLC,Storage & Org,Supplier Service Desk,2026-08-02,203.0,171.0,-32.0,2.4679802955665027,1.2456140350877194,-1.2223662604787833,0.0,0.3742690058479532,0.3742690058479532,4.960199004975125,4.654545454545454,-0.30565355042967024,0.6502463054187192,0.7602339181286549,0.10998761270993573,0.8078817733990148,0.8011695906432749,-0.006712182755739926,0.8177339901477833,0.7894736842105263,-0.028260305937256924,4.142857142857143,4.052631578947368,-0.0902255639097751,4.836734693877551,4.170731707317073,-0.6660029865604775,1.0,0.9473684210526315,-0.052631578947368474,0.9458128078817734,0.8771929824561403,-0.06861982542563305,0.916256157635468,0.8654970760233918,-0.05075908161207621,0.0,9.000000000000009,9.000000000000009,203.0,171.0,-32.0,0.0,0.5730994152046783,0.5730994152046783,0.7635467980295566,0.5672514619883041,-0.1962953360412525,0.22167487684729065,0.25146198830409355,0.029787111456802906,0.541871921182266,0.3157894736842105,-0.2260824474980555
wave2_aug,368845,GLERUS LTD NJ 07036,GLERUS LTD,Casegoods,Zichu Wang,2026-08-02,187.0,170.0,-17.0,2.5614973262032086,2.041176470588235,-0.5203208556149734,0.0,0.3352941176470588,0.3352941176470588,3.9887640449438204,3.7865853658536586,-0.20217867909016185,0.9197860962566845,0.9470588235294117,0.027272727272727226,0.946524064171123,0.9647058823529412,0.018181818181818188,0.8128342245989305,0.8117647058823529,-0.0010695187165775666,3.144385026737968,2.988235294117647,-0.15614973262032095,4.094972067039106,4.042168674698795,-0.052803392340311284,0.9893048128342246,0.9764705882352941,-0.012834224598930466,0.8983957219251337,0.9117647058823529,0.013368983957219194,0.9090909090909091,0.9352941176470588,0.02620320855614977,2.000000000000008,4.000000000000004,1.9999999999999964,187.0,170.0,-17.0,0.0,0.7470588235294118,0.7470588235294118,0.7005347593582888,0.7647058823529411,0.06417112299465233,0.40106951871657753,0.3941176470588235,-0.006951871657754016,0.2994652406417112,0.37058823529411766,0.07112299465240646
wave2_aug,406808,Yii Lighting CA  92324,Eternadecor INC_1,APS Home Improvement,Aria LI,2026-08-02,184.0,170.0,-14.0,2.5434782608695654,2.776470588235294,0.2329923273657286,0.0,0.2823529411764706,0.2823529411764706,6.033898305084746,6.037037037037037,0.003138731952291529,0.2826086956521739,0.2411764705882353,-0.041432225063938594,0.33695652173913043,0.27647058823529413,-0.0604859335038363,1.7934782608695652,2.135294117647059,0.3418158567774936,6.369565217391305,6.41764705882353,0.04808184143222505,5.868571428571428,6.012345679012346,0.1437742504409174,0.9891304347826086,0.8529411764705882,-0.13618925831202044,0.6956521739130435,0.7941176470588235,0.09846547314578002,0.6467391304347826,0.8058823529411765,0.1591432225063939,2.000000000000009,25.000000000000007,23.0,184.0,170.0,-14.0,0.0,0.6588235294117647,0.6588235294117647,0.7880434782608695,0.8176470588235294,0.02960358056265988,0.005434782608695652,0.0,-0.005434782608695652,0.782608695652174,0.8176470588235294,0.03503836317135545
wave2_aug,247707,simplehuman CA 90808,simplehuman,Storage & Org - Frequency,Bryn Bennett,2026-08-02,239.0,159.0,-80.0,2.4435146443514646,1.220125786163522,-1.2233888581879426,0.0,0.36477987421383645,0.36477987421383645,6.083720930232558,5.01360544217687,-1.0701154880556878,0.28870292887029286,0.6477987421383647,0.3590958132680719,0.4602510460251046,0.660377358490566,0.20012631246546142,1.1673640167364017,1.0943396226415094,-0.07302439409489225,5.472803347280335,4.817610062893082,-0.655193284387253,6.004739336492891,4.76510067114094,-1.2396386653519516,0.99581589958159,0.9622641509433962,-0.03355174863819377,0.8493723849372385,0.6666666666666666,-0.18270571827057192,0.8117154811715481,0.8238993710691824,0.012183889897634304,0.9999999999999893,5.999999999999998,5.000000000000009,239.0,159.0,-80.0,0.0,0.6037735849056604,0.6037735849056604,0.7531380753138075,0.7044025157232704,-0.0487355595905371,0.0,0.0,0.0,0.7531380753138075,0.7044025157232704,-0.0487355595905371
wave2_aug,463964,Grand Leisure Outdoor Product CA 92335,Grand Leisure Outdoor Product Co.,APS Outdoor,Melody Lu,2026-08-16,238.0,154.0,-84.0,4.189075630252101,3.4285714285714284,-0.7605042016806727,0.0,0.19480519480519481,0.19480519480519481,7.29004329004329,5.930555555555555,-1.3594877344877343,0.31512605042016806,0.43506493506493504,0.11993888464476699,0.36134453781512604,0.5324675324675324,0.17112299465240638,2.7100840336134455,1.2727272727272727,-1.4373567608861728,6.621848739495798,4.8311688311688314,-1.7906799083269664,7.26431718061674,5.931506849315069,-1.3328103313016717,0.9453781512605042,0.987012987012987,0.041634835752482835,0.8277310924369747,0.8376623376623377,0.009931245225362928,0.7394957983193278,0.8181818181818182,0.07868601986249046,13.000000000000007,2.000000000000001,-11.000000000000007,238.0,154.0,-84.0,0.0,0.2597402597402597,0.2597402597402597,0.49159663865546216,0.8701298701298701,0.3785332314744079,0.0,0.0,0.0,0.49159663865546216,0.8701298701298701,0.3785332314744079
wave2_aug,468576,shilijincheng dangerous CA 91762(2),Hong Kong HuaYa Trade Limited,APS Home Improvement,Yinan Du,2026-08-02,173.0,153.0,-20.0,2.468208092485549,1.8104575163398693,-0.6577505761456799,0.0,0.42483660130718953,0.42483660130718953,5.529761904761905,4.7254901960784315,-0.8042717086834736,0.5260115606936416,0.7908496732026143,0.2648381125089727,0.7572254335260116,0.7908496732026143,0.033624239676602774,0.5664739884393064,1.1045751633986929,0.5381011749593865,4.369942196531792,4.124183006535947,-0.24575918999584445,5.5030674846625764,4.967105263157895,-0.5359622215046818,1.0,0.8169934640522876,-0.18300653594771243,0.930635838150289,0.8954248366013072,-0.035211001548981824,0.9017341040462428,0.9215686274509803,0.01983452340473757,0.0,28.000000000000004,28.000000000000004,173.0,153.0,-20.0,0.0,0.7058823529411765,0.7058823529411765,0.7341040462427746,0.5686274509803921,-0.16547659526238245,0.4161849710982659,0.3790849673202614,-0.03710000377800449,0.3179190751445087,0.1895424836601307,-0.12837659148437797
wave2_aug,172965,BLUEBELL INTERNATIONAL INC. CA 91761,BLUEBELL INTERNATIONAL INC.,APS,Yolanda GUI,2026-08-02,213.0,150.0,-63.0,2.460093896713615,1.74,-0.720093896713615,0.0,0.34,0.34,5.151960784313726,4.918918918918919,-0.23304186539480654,0.539906103286385,0.7266666666666667,0.18676056338028169,0.6291079812206573,0.7533333333333333,0.12422535211267605,1.5023474178403755,1.2,-0.30234741784037555,4.906103286384977,4.426666666666667,-0.4794366197183102,5.098522167487685,4.804054054054054,-0.29446811343363066,0.9906103286384976,0.8733333333333333,-0.11727699530516433,0.8169014084507042,0.8533333333333334,0.03643192488262914,0.7746478873239436,0.8533333333333334,0.07868544600938976,2.0000000000000053,19.000000000000007,17.0,213.0,150.0,-63.0,0.0,0.6933333333333334,0.6933333333333334,0.6103286384976526,0.5266666666666666,-0.083661971830986,0.09859154929577464,0.04,-0.05859154929577464,0.5117370892018779,0.4866666666666667,-0.02507042253521119
wave2_aug,349177,"Zhejiang Linya Co., Ltd NJ 07036",LINYA OUTDOOR LIVING LLC,APS Home Improvement,Danica Guo,2026-08-02,143.0,148.0,5.0,2.3426573426573425,1.8783783783783783,-0.4642789642789642,0.0,0.3783783783783784,0.3783783783783784,3.9361702127659575,3.851063829787234,-0.08510638297872353,0.9300699300699301,0.8783783783783784,-0.05169155169155171,0.986013986013986,0.918918918918919,-0.06709506709506707,1.013986013986014,0.9324324324324325,-0.0815535815535815,3.167832167832168,3.3513513513513513,0.1835191835191834,3.8920863309352516,4.24822695035461,0.3561406194193584,0.958041958041958,0.918918918918919,-0.03912303912303905,0.9090909090909091,0.8378378378378378,-0.07125307125307123,0.8951048951048951,0.8243243243243243,-0.07078057078057076,6.0000000000000036,11.999999999999993,5.999999999999989,143.0,148.0,5.0,0.0,0.7094594594594594,0.7094594594594594,0.7902097902097902,0.7027027027027027,-0.08750708750708747,0.32867132867132864,0.27702702702702703,-0.051644301644301616,0.46153846153846156,0.42567567567567566,-0.035862785862785906
wave2_aug,313006,"Hangzhou Skytech Outdoor Co., LTD CA 92880","Hangzhou Skytech Outdoor Co., LTD",APS,Danica Guo,2026-08-02,188.0,147.0,-41.0,3.5638297872340425,1.6938775510204083,-1.8699522362136343,0.0,0.5102040816326531,0.5102040816326531,5.849462365591398,5.208333333333333,-0.641129032258065,0.4521276595744681,0.7142857142857143,0.2621580547112462,0.8351063829787234,0.8435374149659864,0.008431031987263027,1.202127659574468,1.0068027210884354,-0.19532493848603272,4.361702127659575,4.4353741496598635,0.07367202200028888,5.916666666666667,4.916666666666667,-1.0,0.9787234042553191,0.9931972789115646,0.0144738746562455,0.9627659574468085,0.9183673469387755,-0.044398610508032954,0.8297872340425532,0.782312925170068,-0.04747430887248516,4.000000000000005,1.000000000000001,-3.0000000000000044,188.0,147.0,-41.0,0.0,0.6258503401360545,0.6258503401360545,0.898936170212766,1.0,0.10106382978723405,0.5159574468085106,0.3333333333333333,-0.18262411347517732,0.3829787234042553,0.6666666666666666,0.2836879432624113
wave2_aug,370173,aifei(shanghai)kejiyouxiangongsi GA 30517,aifei(shanghai)kejiyouxiangongsi,APS K&D,Eve Deng,2026-08-02,178.0,147.0,-31.0,3.4157303370786516,1.9795918367346939,-1.4361385003439577,0.0,0.2789115646258503,0.2789115646258503,4.514285714285714,4.36734693877551,-0.14693877551020407,0.9044943820224719,0.9863945578231292,0.08190017580065734,0.9550561797752809,0.9523809523809523,-0.002675227394328572,1.4831460674157304,1.9251700680272108,0.4420240006114804,4.106741573033708,4.1768707482993195,0.07012917526561147,5.300578034682081,4.8979591836734695,-0.4026188510086115,1.0,0.6870748299319728,-0.3129251700680272,0.9157303370786517,0.9115646258503401,-0.004165711228311553,0.9550561797752809,0.9387755102040817,-0.016280669571199224,0.0,46.0,46.0,178.0,147.0,-31.0,0.0,0.42857142857142855,0.42857142857142855,0.848314606741573,0.4421768707482993,-0.4061377359932737,0.0,0.04081632653061224,0.04081632653061224,0.848314606741573,0.4013605442176871,-0.4469540625238859
wave2_aug,326372,Tmekeeper INC. CA 91761 (3),Tmekeeper INC.,APS Bedroom,Christal Ding,2026-08-02,155.0,144.0,-11.0,2.412903225806452,1.625,-0.7879032258064518,0.0,0.4652777777777778,0.4652777777777778,7.0,4.830985915492958,-2.169014084507042,0.5096774193548387,0.7361111111111112,0.22643369175627248,0.567741935483871,0.6944444444444444,0.12670250896057345,1.5290322580645161,1.5486111111111112,0.019578853046595013,5.193548387096774,4.736111111111111,-0.4574372759856633,6.87248322147651,4.957746478873239,-1.9147367426032709,1.0,0.7222222222222222,-0.2777777777777778,0.9096774193548387,0.7638888888888888,-0.14578853046594986,0.9354838709677419,0.8125,-0.12298387096774188,0.0,40.0,40.0,155.0,144.0,-11.0,0.0,0.7916666666666666,0.7916666666666666,0.7096774193548387,0.5625,-0.14717741935483875,0.0,0.0,0.0,0.7096774193548387,0.5625,-0.14717741935483875
wave2_aug,347934,Ningbo Jiangbei Fufu CA 91761 (3),Ningbo Jiangbei Fufu,APS Bedroom,Christal Ding,2026-08-02,160.0,134.0,-26.0,2.63125,1.835820895522388,-0.7954291044776121,0.0,0.373134328358209,0.373134328358209,5.134615384615385,4.815384615384615,-0.3192307692307699,0.65625,0.7164179104477612,0.06016791044776115,0.775,0.6865671641791045,-0.08843283582089556,1.35625,1.791044776119403,0.4347947761194031,4.3625,4.619402985074627,0.2569029850746274,4.946666666666666,4.7,-0.24666666666666615,0.9875,0.664179104477612,-0.3233208955223881,0.8875,0.7835820895522388,-0.10391791044776111,0.81875,0.835820895522388,0.017070895522388052,1.999999999999993,44.99999999999999,43.0,160.0,134.0,-26.0,0.00625,0.746268656716418,0.740018656716418,0.6875,0.4626865671641791,-0.2248134328358209,0.00625,0.0,-0.00625,0.68125,0.4626865671641791,-0.21856343283582091
wave2_aug,322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ","Hangzhou Mengfeisi Home Furnishings Co., Ltd",APS Outdoor,Moti Mao,2026-08-02,444.0,124.0,-320.0,3.4234234234234235,1.8548387096774193,-1.5685847137460043,0.0,0.25806451612903225,0.25806451612903225,8.041189931350115,3.8620689655172415,-4.1791209658328725,0.21171171171171171,0.782258064516129,0.5705463528044172,0.46396396396396394,0.7580645161290323,0.2941005521650683,1.0315315315315314,1.2096774193548387,0.17814588782330731,5.56981981981982,4.306451612903226,-1.263368206916594,8.394859813084112,4.258064516129032,-4.13679529695508,1.0,1.0,0.0,0.9594594594594594,0.5483870967741935,-0.4110723626852659,0.9031531531531531,0.6935483870967742,-0.2096047660563789,0.0,0.0,0.0,444.0,124.0,-320.0,0.0,0.6290322580645161,0.6290322580645161,0.7297297297297297,0.8709677419354839,0.14123801220575416,0.0518018018018018,0.04032258064516129,-0.01147922115664051,0.6779279279279279,0.8306451612903226,0.15271723336239473
wave2_aug,361472,Ningboyuxudianzishangwuyouxiangongsi NJ 08873,Ningboyuxudianzishangwuyouxiangongsi,APS AEOF,Ricky Yu,2026-08-02,132.0,102.0,-30.0,3.8106060606060606,1.6470588235294117,-2.163547237076649,0.0,0.46078431372549017,0.46078431372549017,4.3858267716535435,4.03921568627451,-0.34661108537903385,0.8787878787878788,0.9117647058823529,0.03297682709447414,0.9090909090909091,0.9313725490196079,0.022281639928698804,2.0757575757575757,1.392156862745098,-0.6836007130124777,4.075757575757576,3.735294117647059,-0.34046345811051726,5.291338582677166,4.178217821782178,-1.1131207608949873,0.9924242424242424,1.0,0.007575757575757569,0.8787878787878788,0.8823529411764706,0.0035650623885917776,0.9318181818181818,0.8823529411764706,-0.049465240641711206,0.9999999999999991,0.0,-0.9999999999999991,132.0,102.0,-30.0,0.0,0.8235294117647058,0.8235294117647058,0.6363636363636364,0.9607843137254902,0.32442067736185387,0.0,0.0,0.0,0.6363636363636364,0.9607843137254902,0.32442067736185387
wave2_aug,56438,Costway CA 92337B,Costway,APS Outdoor,David Liu,2026-08-02,161.0,97.0,-64.0,2.4161490683229814,1.577319587628866,-0.8388294806941154,0.0,0.44329896907216493,0.44329896907216493,4.772151898734177,4.051546391752577,-0.7206055069815998,0.7267080745341615,0.9072164948453608,0.1805084203111993,0.8633540372670807,0.8969072164948454,0.033553179227764685,0.8695652173913043,0.9690721649484536,0.09950694755714928,3.5652173913043477,3.288659793814433,-0.2765575974899148,4.694267515923567,4.525773195876289,-0.16849432004727838,0.9813664596273292,0.8556701030927835,-0.1256963565345457,0.9503105590062112,0.9278350515463918,-0.02247550745981941,0.9440993788819876,0.9484536082474226,0.004354229365435058,3.0000000000000058,14.000000000000004,10.999999999999998,161.0,97.0,-64.0,0.0,0.9690721649484536,0.9690721649484536,0.84472049689441,0.6494845360824743,-0.19523596081193573,0.32298136645962733,0.35051546391752575,0.02753409745789842,0.5217391304347826,0.29896907216494845,-0.22277005826983415
